gene_id,SRR22458540,SRR22458547,SRR7780828,SRR7780898,SRR7819748,SRR7819792,SRR7819798,SRR7819835,SRR7819862,SRR7819901,SRR7819906,SRR7819938
RNF146,150,191,1984,1192,2228,2131,2519,1793,3902,3316,3617,2672
SOGA3,0,0,4119,2280,16,13,17,0,6,0,108,27
KIAA0408,11,11,1689,868,40,72,30,300,56,56,227,86
ECHDC1,919,490,1130,629,3839,2621,3290,3506,6120,4198,3317,8668
PTPRK,421,1961,5715,3801,10023,11416,13215,2282,12973,8174,7139,3706
ARHGAP18,205,1610,2422,1510,3212,9746,3665,1164,10525,2377,3764,1657
TMEM200A,16,47,2365,1641,90,374,745,379,961,832,266,329
L3MBTL3,149,128,2571,1588,758,1261,1308,932,1627,1561,2103,703
LAMA2,1311,1669,12265,7431,186,10784,2161,11578,6217,23919,17532,3428
EPB41L2,622,282,3090,1799,2208,3042,4924,7194,5738,3725,5160,2089
AKAP7,138,196,1278,790,899,762,906,789,1290,980,1056,314
CTSV,344,257,768,555,2663,3445,3904,3896,7018,2128,9413,19672
ZNF782,74,121,3370,2529,621,538,567,272,1022,476,904,360
ZNF510,197,230,2744,2094,728,1068,650,523,745,419,1260,444
PRXL2C,119,105,1080,644,922,955,836,740,728,515,1255,529
HABP4,65,50,1287,722,523,465,1004,1231,1118,3261,1124,693
CDC14B,327,189,2068,1208,1879,2120,2701,2274,2703,2045,3685,1212
ZNF367,162,110,1345,816,256,482,792,231,1356,280,581,380
HSD17B3,2,2,1614,1062,0,11,8,2,5,13,12,10
SLC35D2,36,15,2142,1103,219,268,474,462,736,775,507,312
ERCC6L2,347,290,11072,5928,1133,1750,1812,1454,1928,2006,1634,1060
PTCH1,255,196,5835,3251,2244,1387,896,847,1036,1452,1744,806
FBP1,76,331,1068,570,1608,1055,2777,4049,4661,1743,1790,867
FBP2,13,150,1164,647,1577,724,1063,1844,1353,672,694,159
GAS1,54,19,1297,485,282,1705,493,837,1646,517,1131,662
DAPK1,193,541,4297,2473,2079,4962,2027,2914,2634,157,4744,536
FANCC,94,96,2688,1663,586,400,302,93,679,459,431,329
C1H9orf3,395,445,3449,2325,3306,3302,4431,1478,6749,12192,5310,4094
MIR27B,0,1,0,0,0,0,0,0,0,0,0,1
MIR24-1,2,3,94,46,24,38,34,1,46,105,63,34
MIR24-1,1,1,6,4,1,1,1,1,2,3,2,3
TUT7,465,488,7353,4899,2600,2770,2055,1472,2631,2339,3398,2521
ISCA1,209,295,1281,990,1407,1749,2204,4548,4013,3000,3469,2304
GOLM1,243,205,1035,681,576,3414,5829,986,4300,2459,2025,1601
NAA35,157,153,3657,2326,1384,1105,1338,1011,2259,1126,1458,1480
AGTPBP1,222,200,5960,4124,837,1243,1021,529,1344,1114,1336,880
NTRK2,997,479,3051,1889,444,3282,12609,4376,3304,5433,7927,2955
C1H9orf64,142,72,2099,1248,2132,1325,2520,1480,2742,3026,2549,1928
KIF27,63,37,4948,3616,156,190,182,90,334,247,250,289
RMI1,75,67,5945,3352,506,713,815,307,1248,1227,799,552
HNRNPK,1935,3191,3109,2134,25799,21864,20168,17345,36613,7627,30677,26950
MIR7-1,1,2,58,39,31,12,9,0,25,18,12,9
MIR7-1,1,1,1,1,1,1,1,0,1,1,1,1
GKAP1,49,49,1541,973,499,446,489,1601,1075,892,886,592
TRNAR-CCU,1,0,4,0,0,0,0,0,0,0,0,0
IDNK,34,31,1021,593,880,377,240,678,812,1370,616,376
UBQLN1,621,693,2726,1901,4426,4574,6873,4215,6835,9840,4409,5975
FRMD3,188,93,1853,1109,41,732,829,702,1272,1576,1609,331
RASEF,111,1799,3273,2089,2818,5987,2769,15,6800,2433,4814,1345
TLE1,215,443,2860,1728,1887,1925,1971,775,2459,4187,2400,1353
TLE4,438,162,2278,1512,1598,804,1414,845,983,1004,948,2181
PSAT1,200,342,774,494,1452,1435,3816,3895,4850,926,1404,3098
CEP78,117,615,4969,2823,815,1152,943,471,2778,1393,606,338
GNAQ,132,273,1145,943,1144,1633,703,630,329,93,1123,200
GNA14,41,111,1644,901,1355,1510,1718,201,856,880,1483,629
VPS13A,1558,1755,16157,9572,3927,5149,3580,2504,5082,2685,3280,2335
GCNT1,127,28,3068,1931,2569,789,3475,209,904,1236,1872,1202
RFK,213,377,1237,581,735,2604,2226,236,7595,2747,2315,1113
PRUNE2,427,49,13964,8865,343,747,1521,279,957,786,2200,601
OSTF1,393,410,750,580,4275,4201,5696,4973,10922,4495,9634,6326
NMRK1,84,173,1421,616,795,1012,1000,665,2342,754,1189,721
PCSK5,378,207,5409,3314,1655,1445,1655,2130,3127,1610,1710,1048
C1H9orf40,33,43,590,398,131,265,331,122,842,153,210,296
CARNMT1,225,188,1953,1198,657,908,1012,440,1581,574,582,926
TRPM6,10,6,8164,5146,0,8,16,0,0,0,0,113
RORB,66,0,1951,1210,7,101,22,37,37,73,75,19
ANXA1,1984,1282,1987,1147,82367,48268,102851,94077,213584,93998,80200,64284
ALDH1A1,671,138,1900,1126,2459,3910,1959,1644,4394,18729,4392,4612
ZFAND5,388,405,766,617,2525,5381,6018,4247,5482,9325,8104,3806
GDA,390,1500,2319,1306,3375,4624,2451,2767,2880,2181,1602,1800
C1H9orf85,27,21,462,387,83,157,168,88,211,27,99,89
ABHD17B,208,630,1894,1019,1752,2825,2162,458,5901,1444,2573,1032
CEMIP2,214,341,4898,3150,1126,4045,3382,624,1605,1177,2311,1432
KLF9,76,66,467,249,433,1346,369,679,353,211,1877,191
TRPM3,34,63,5806,3660,6,119,54,18,98,78,133,48
MIR204,1,0,82,43,0,0,0,0,0,0,0,0
MIR204,1,0,3,3,0,0,0,0,0,0,0,0
SMC5,472,339,5203,3120,1753,2733,2607,1176,2798,2102,2976,1448
MAMDC2,134,53,2360,1436,92,851,335,424,2267,316,1404,581
C1H9orf135,0,0,665,382,0,15,4,23,36,0,23,0
PTAR1,553,536,1691,980,755,1099,1575,273,1812,1065,1203,657
APBA1,63,26,3302,1726,105,320,144,496,237,292,391,196
FAM189A2,223,543,1731,947,3971,3134,7434,2393,6262,16065,3672,2245
FXN,25,70,402,230,401,345,544,210,695,320,383,323
TJP2,428,716,5519,3197,7438,4872,6858,2037,6593,2143,7940,5377
TMEM252,13,6,619,342,31,135,94,35,163,153,285,60
PIP5K1B,51,395,2523,1478,157,1770,503,340,2520,547,1814,2494
PABIR1,47,31,1516,768,213,564,424,374,637,581,637,334
CBWD1,95,184,1919,1301,1893,1639,2591,1448,4823,1960,2579,3338
PGM5,330,262,1513,934,1170,5936,4537,4729,9734,10626,12706,2757
DOCK8,256,303,6875,4134,6108,2592,2432,1151,2196,850,1520,1433
DMRT2,44,37,2215,1625,11,16,106,1012,127,741,254,115
KANK1,776,329,5940,3710,1277,2785,1788,22702,2140,1171,4077,6358
VLDLR,64,338,3732,2085,192,1472,862,1348,2352,467,1322,862
PUM3,181,399,3170,1870,2286,1811,2587,1916,4585,3920,2678,3271
SMARCA2,1081,1331,4760,2841,7256,6173,4985,5148,7692,3895,6945,2566
RFX3,159,299,3453,2040,990,1114,945,92,1696,696,1008,687
SLC1A1,65,753,2030,1289,902,5273,3602,21,2593,1223,1285,2035
SPATA6L,12,0,1420,763,56,53,50,50,59,60,191,36
PLPP6,162,202,1661,886,690,1025,2256,1381,2819,2344,1622,2279
CDC37L1,148,144,1876,1105,696,854,983,1220,1864,822,1107,1164
AK3,333,166,268,240,1476,1342,3473,7689,3268,2154,4405,2509
GLIS3,82,41,2783,1804,291,359,1025,147,283,383,425,135
RLN2,0,0,803,441,11,26,22,8,54,57,46,7
PLGRKT,20,25,598,403,400,319,583,689,765,339,578,396
JAK2,427,1405,5457,3689,2689,4655,2117,1269,3289,624,3378,2037
PDCD1LG2,36,20,1106,634,14,608,322,719,560,545,1049,379
CD274,7,3,1760,1225,76,324,216,117,173,190,726,143
RIC1,683,823,6275,3711,3120,4778,3517,3149,4602,4004,4442,3558
ERMP1,494,378,2901,2008,2624,2208,4698,2124,2971,3580,1804,2940
SPTLC1,331,382,2184,1210,2345,2522,1449,1730,4799,711,3161,3956
NFIL3,69,101,1910,1114,794,2007,2976,2461,1431,2443,1401,2120
ROR2,146,120,3926,2008,202,672,323,5782,1220,2197,716,618
